review,clean_review
"This movie has the same problems as part one. The editing in this is terrible! Scenes don't connect, they start an assignment or story branch, then immediately cut to another completely new set of tasks and characters with their own motivations and interests. No idea is complete, nothing gets resolved, and the dialogue is horrendous.

These movies can only appeal to the fans of the books because the story is too disjointed for any casual to follow. If you haven't read the books you won't understand anything that's happening here. What we have here is a movie that is really pretty. It maxes out in the visuals category. The sound was hit or miss, but the plot, pacing and characters were all bad.

Not a masterpiece. Sorry.",thi movi problem part one the edit terribl scene dont connect start assign stori branch immedi cut anoth complet new set task charact motiv interest no idea complet noth get resolv dialogu horrend these movi appeal fan book stori disjoint casual follow if havent read book wont understand anyth that happen what movi realli pretti it max visual categori the sound hit miss plot pace charact bad not masterpiec sorri
"Saw an early screening of this film at the Tilton Square Theatre in New Jersey, and I was completely blown away. From the opening scene all the way until the credits I never felt bored, which is impressive for a 2 hour and 45 minute film.

I don't want to write too much here, I prefer anyone reading this with the slightest bit of interest in the film to go see it immediately. It doesn't release worldwide until March 1st, so grab tickets and I would highly recommended you see it in IMAX if possible. Almost the entirety of the movie is filmed with IMAX cameras.

This movie is an absolute visual spectacle probably going to win a couple Oscar's for sound editing, picture, etc., and the fight scenes are choreographed so fantastically. Like I stated in the beginning, see this film!",saw earli screen film tilton squar theatr new jersey i complet blown away from open scene way credit i never felt bore impress hour minut film i dont want write much i prefer anyon read slightest bit interest film go see immedi it doesnt releas worldwid march st grab ticket i would highli recommend see imax possibl almost entireti movi film imax camera thi movi absolut visual spectacl probabl go win coupl oscar sound edit pictur etc fight scene choreograph fantast like i state begin see film
"The biggest problem with this movie is one that has crept into Hollywood over the last decade and no-one seems to really acknowledge... the actors mumble their lines in such low tones you have to turn the volume up full blast then when the character yells the audience feels the actor is more powerful then he/she really is but in reality they are boring and wooden. Not to mention your ears fall off when their is a sudden explosion during the mumbling. Gone are the days when actors were given roles based on talent and could actually talk in a normal clear tone, like George Clooney.

Overall the movie itself looks amazing and helps people overlook the boring as crap first 2 hours. All the high ratings and reviews on here are fans of the book and fans of visuals but clearly don't go to movies to be entertained. Between the acting of Zendaya, Dave Bautista, Austin Butler and Florence Pugh this movie should pick up a few razzie awards for bad acting, assuming people realise an empty blank look on your face does not involve any acting.

It's time critics and social media reviewers took their heads out of their lower back region and stopped blowing up average movies in an attempt to turn them into classics that they clearly are not.",the biggest problem movi one crept hollywood last decad noon seem realli acknowledg actor mumbl line low tone turn volum full blast charact yell audienc feel actor power hesh realli realiti bore wooden not mention ear fall sudden explos mumbl gone day actor given role base talent could actual talk normal clear tone like georg clooney overal movi look amaz help peopl overlook bore crap first hour all high rate review fan book fan visual clearli dont go movi entertain between act zendaya dave bautista austin butler florenc pugh movi pick razzi award bad act assum peopl realis empti blank look face involv act it time critic social medium review took head lower back region stop blow averag movi attempt turn classic clearli
"Dune: Part Two is simply Denis Villeneuve's Magnum Opus in his filmography. I've loved this director's work since ""Blade Runner 2049"", and ""Arrival"". He did an excellent job placing his vision on the first Dune, but here, Villeneuve cranks his direction times 10!

The structure, set-up, visuals, sound and story are crafted in ways that are hard for me to put in words, due to how everything came together so miraculously. The acting is also top-notch! Timothée Chalamet in particular is unbelievably phenomenal, and Zendaya does a great job as well. Austin Butler, Rebecca Ferguson and Florence Pugh are also excellent! Denis never lets you out of this experience! The pure weight of the film is presented through astounding narratives, rich cinematography, an epic story and mesmerizing action sequences that will make your seat rumble if you watch this on the big screen!

There are quite a handful of thrilling moments that I still have no idea how they came out THIS good in the end! Denis Villeneuve is truly a sorcerer in the Sci-Fi genre! Every frame and detail in his films are captivating as hell, and it's no different here in the slightest!

Dune: Part Two made me leave the theater feeling inspired! There's so much to take away from this masterpiece! Definitely my #1 favorite movie of this year as of now! Bring on Dune: Part Three as fast as possible!",dune part two simpli deni villeneuv magnum opu filmographi ive love director work sinc blade runner arriv he excel job place vision first dune villeneuv crank direct time the structur setup visual sound stori craft way hard put word due everyth came togeth miracul the act also topnotch timoth chalamet particular unbeliev phenomen zendaya great job well austin butler rebecca ferguson florenc pugh also excel deni never let experi the pure weight film present astound narr rich cinematographi epic stori mesmer action sequenc make seat rumbl watch big screen there quit hand thrill moment i still idea came thi good end deni villeneuv truli sorcer scifi genr everi frame detail film captiv hell differ slightest dune part two made leav theater feel inspir there much take away masterpiec definit favorit movi year bring dune part three fast possibl
"This movie more than accomplished all of the promises it set out, absolutely mesmerizing experience. I loved the first movie and thought it would be an impossibly difficult task to surpass it, but Denis Villeneuve has once again proven himself as the most promising sci-fi director of this age. I find that this installment of the series picks up its pace quickly and reaches its peak near the end of the film. Contrary to the first film where most of the action was packed into the middle. Dune: Part Two displays a more relaxed tone from the start to the middle of the movie, however the mood shifts to match the occasion and finally leaves you somewhat distraught as the consequences of the character's choices surely lead to a path they cannot return from. The cinematography by Greig Fraser is once again fantastic the mixture of his naturalistic style and the sci-fi genre leads to a grounded universe while still retaining the wonderous and whimsical aspects of science fiction, each decision on how planets and characters are portrayed demonstrates the care and attention paid to how audiences interpret them, you understand the Harkonnen, the Emperor, the Fremen, the Bene Gesserit and the remnants of house Atreides in one look at the way they are shown. The score is once again sublime, Hans Zimmer once again proves himself as the definitive motion picture composer, his ability to craft larger-than-life scores with his ability to understand the differences between each character and culture present in this film is nothing short of perfection, recurring themes and motifs are present throughout the movie and paired with the visuals and the performances, which are also incredible, form a modern day masterpiece crafted meticulously by masters of their respective fields. Rebecca Ferguson, Timothée Chalamet, Javier Bardem, Austin Butler and Zendaya give wonderful performances, with the first three being standouts. Overall this movie deserves the universal praise it has received and might just interest those who didn't even enjoy the first installment of the series.",thi movi accomplish promis set absolut mesmer experi i love first movi thought would imposs difficult task surpass deni villeneuv proven promis scifi director age i find instal seri pick pace quickli reach peak near end film contrari first film action pack middl dune part two display relax tone start middl movi howev mood shift match occas final leav somewhat distraught consequ charact choic sure lead path cannot return the cinematographi greig fraser fantast mixtur naturalist style scifi genr lead ground univers still retain wonder whimsic aspect scienc fiction decis planet charact portray demonstr care attent paid audienc interpret understand harkonnen emperor fremen bene gesserit remnant hous atreid one look way shown the score sublim han zimmer prove definit motion pictur compos abil craft largerthanlif score abil understand differ charact cultur present film noth short perfect recur theme motif present throughout movi pair visual perform also incred form modern day masterpiec craft meticul master respect field rebecca ferguson timoth chalamet javier bardem austin butler zendaya give wonder perform first three standout overal movi deserv univers prais receiv might interest didnt even enjoy first instal seri
"I did enjoy the movie, but I saying it's as good as Dark Knight will be a huge overstatement.

Enough good things have already been said about this movie, so I'll just point out the negatives:

1. All viallians feel quite weak, bland, and never seem to pose any real threat. Bautista's character is a joke, Baron isn't threatening, and the new villian (being called as good as joker by some people) also feels very generic. The *new abilities* that Paul gets also feel too convenient and easy to get.

2. Characters change a lot instantly, Jessica suddenly becomes this completely different character, and same goes with Paul.

3. I can see how it may have to be rushed in the movie format, but the pacing could've been better.

4. Paul is the prophesied prophet, and... That just happens with no surprises etc. In some ways, I think that was for the better, as it avoids the overdone struggling hero cliche, but I was prepared to feel tense for Paul, but never really felt that there was a reason to feel tense.

Overall, it's a solid 8/10, it is a technical masterpiece if you look at cinematography etc., but as a movie overall, it's just another 'good watch' which is well worth its time, and that's completely fine.",i enjoy movi i say good dark knight huge overstat enough good thing alreadi said movi ill point neg all viallian feel quit weak bland never seem pose real threat bautista charact joke baron isnt threaten new villian call good joker peopl also feel gener the new abil paul get also feel conveni easi get charact chang lot instantli jessica suddenli becom complet differ charact goe paul i see may rush movi format pace couldv better paul prophesi prophet that happen surpris etc in way i think better avoid overdon struggl hero clich i prepar feel ten paul never realli felt reason feel ten overal solid technic masterpiec look cinematographi etc movi overal anoth good watch well worth time that complet fine
"In the quiet embrace of ink and page, a story unfolded, timeless and sage, through the lens of a filmmaker's artistry, its essence soared, a masterpiece for all to see, i think Denis Villeneuve has just made the most visually stunning epic story of a movie that's ever been made, the most powerful story of a movie ever been told in the last 20 years, there has been no movies with this scale resulting in not just a piece of a film no more but a piece of art, it's what Infinity War and Endgame looks like if it's not a superhero for kids entertainment type movie, the more adult version of Star Wars, Dune has just become the most intriguing, fascinating, and admirable movie world that we should always get excited about right now, Marvel universe are over, Star Wars universe are over, let the maestro Denis Villeneuve handle all of this if they are gonna make another one, i'm glad to be able to say that i think Dune: Part Two was a Masterpiece, i haven't felt this awe feeling and just pure fascinated at a movie like this in quite a long time, i have nothing to complain about the story and the visual of the film because i felt most of it if not all of it was just perfect, i cannot describe how incredible the visual of the film was, how mesmerizing the sound and the score of the film was, and how amazing all of the performance was, props to Timothée Chalamet, i'm not surprise if he gets the nomination for best actor for the Oscars next year, he totally deserve it and absolutely needs to be considered, each dialogue was great, each scene from one to another felt important and worth it, action scenes are some of the best i've seen in a while, and the perfect stabilisation between the action and the narration scene are very well done, 2 hours and 47 minutes of pure grand epic film fills with the most stunning visual that you could possibly imagine, and an intriguing story telling that kept you going for the whole duration, it's that good, it's that epic, it's that great, Mastering others is strength, mastering yourself is true power, overall i could see both Denis Villeneuve Dune finally get the influential recognition 10 years from now, and specifically Part Two being also one of the greatest sequel ever made, Dune: Part Two was easily the best films of the year so far, it is more than what he supposed to deliver.",in quiet embrac ink page stori unfold timeless sage len filmmak artistri essenc soar masterpiec see think deni villeneuv made visual stun epic stori movi that ever made power stori movi ever told last year movi scale result piec film piec art infin war endgam look like superhero kid entertain type movi adult version star war dune becom intrigu fascin admir movi world alway get excit right marvel univers star war univers let maestro deni villeneuv handl gonna make anoth one im glad abl say think dune part two masterpiec havent felt awe feel pure fascin movi like quit long time noth complain stori visual film felt perfect cannot describ incred visual film mesmer sound score film amaz perform prop timoth chalamet im surpris get nomin best actor oscar next year total deserv absolut need consid dialogu great scene one anoth felt import worth action scene best ive seen perfect stabilis action narrat scene well done hour minut pure grand epic film fill stun visual could possibl imagin intrigu stori tell kept go whole durat good epic great master other strength master true power overal could see deni villeneuv dune final get influenti recognit year specif part two also one greatest sequel ever made dune part two easili best film year far suppos deliv
"From the time this movie has been released it has been described as one of the best sequal ever made,but I feel bad to say this; it's not.

It is still a good movie but it is inferior to the first part.

I haven't read the books and when i watched the first part it was so entertaining and when you know a director like Denis Villeneuev will also make the next part,your expectations increases multiple times.

I can understand they have a book and they are making it according to the source material but still you don't feel that amazement or thrill like the first movie.

For me the biggest reason is not hiring the writer of the first movie Eric Roth.

He is a damn good writer and has written movies like Forrest gump,The curious case of Benjamin button and etc.

I don't know the reason why he wasn't there for this movie. But surely thing might have been different if he was on board.

They changed the color palette also from the first movie.it was a little bluish in the first part which suited it but here they changed it and it looks quite different.

It goes on with slow story telling and becomes really fast paced in the last 30 or 45 minutes.

I am not saying it's a bad movie but what you expect after watching the first part it's not at that level.

Behaviour of characters was also one dimensional and wasn't explored properly. Maybe because they had to fill so many things in 2.45 hours of time.

You know extended version of 4 hours would work for this movie because there is so much to add or explain.

But as we know it would never come out.

Rest acting,music, cinematography all are good like the first part.

You will like it but after it will be over you will be left with a feeling of something missing out from it.

Let's hope the next part would be much more thrilling than this one.

I believe in Denis Villeneuev and he is one of the best director of our time and i will watch whatever he will make.",from time movi releas describ one best sequal ever madebut i feel bad say it still good movi inferior first part i havent read book watch first part entertain know director like deni villeneuev also make next partyour expect increas multipl time i understand book make accord sourc materi still dont feel amaz thrill like first movi for biggest reason hire writer first movi eric roth he damn good writer written movi like forrest gumpth curiou case benjamin button etc i dont know reason wasnt movi but sure thing might differ board they chang color palett also first movieit littl bluish first part suit chang look quit differ it goe slow stori tell becom realli fast pace last minut i say bad movi expect watch first part level behaviour charact also one dimension wasnt explor properli mayb fill mani thing hour time you know extend version hour would work movi much add explain but know would never come rest actingmus cinematographi good like first part you like left feel someth miss let hope next part would much thrill one i believ deni villeneuev one best director time watch whatev make
"Both films are pretty consistent in the sense of, they both look amazing. The sound and score is top tier (Hans Zimmer). The action sequences ARE good when they actually happen (which is not very often.) The actors are all good actors. But they're both just straight up boring films to the core.

I don't understand how people write reviews calling it 'masterpiece' or 'the peak of film making.' I just don't believe they could actually be entertained by the straight up DEAD story and DEAD dialogue for what seemed for the whole movie. The only piece of dialogue I actually remember being somewhat entertaining was when Timothy Chalamet said to Josh Brolin 'I recognise your footsteps.' I'm not missing anything, I'm sure. It was just...nothing. I couldn't wait for it to end.

It just seems to me people are lying because they want to 'seem' smart because this was an acclaimed novel and had been made into a movie before in the past. Or they're just Timothy Chalamet groupies (I'm a big fan of him as an actor in his other work) and just want him to do well. I refuse to believe anyone found the plot of this movie good (thus making it entertaining) and it's not like it made up for the lack of story with amazing story telling through action like Mad Max Fury Road did. Can anyone think of any other reasons why people would really rate this movie even close to a 10/10?",both film pretti consist sen look amaz the sound score top tier han zimmer the action sequenc are good actual happen often the actor good actor but theyr straight bore film core i dont understand peopl write review call masterpiec peak film make i dont believ could actual entertain straight dead stori dead dialogu seem whole movi the piec dialogu i actual rememb somewhat entertain timothi chalamet said josh brolin i recognis footstep im miss anyth im sure it justnoth i couldnt wait end it seem peopl lie want seem smart acclaim novel made movi past or theyr timothi chalamet groupi im big fan actor work want well i refus believ anyon found plot movi good thu make entertain like made lack stori amaz stori tell action like mad max furi road can anyon think reason peopl would realli rate movi even close
"After watching the advanced screening, we were blown away by Part 2 of Dune. It continues seamlessly after Part 1, with the same masterful soundtracks, action scenes and acting.

The movie flew by despite it being almost three hours. The pacing was incredibly well done and nothing felt too fast or too slow.

The CGI was incredibly realistic and the characters were portrayed so well by the lead actors. The chemistry between the characters felt so real - nothing felt fake or forced.

It's truly difficult finding a movie that contains everything - flawless screenplay, writing, sound, acting and pacing, but Dune 2 does it all.

One of the best movies of 2024 for sure.",after watch advanc screen blown away part dune it continu seamlessli part master soundtrack action scene act the movi flew despit almost three hour the pace incred well done noth felt fast slow the cgi incred realist charact portray well lead actor the chemistri charact felt real noth felt fake forc it truli difficult find movi contain everyth flawless screenplay write sound act pace dune one best movi sure
