document_id,clean_text,sentiment
12,new dc franchise james gunn start take man steel film current fan fan start also speaks everyone superman film might asked definitely needed focus superhero genre roller coaster action packed yet emotion heart superhero story showed superman invincible also showed weakness yet still show man hope film also waste character lois lane jimmy olsen justice gang played important part hoult performance lex luthor insane fortress solitude also sidelined krypto man krypto definitely stole show brosnahan lois lane really well executed corenswet clark kent superman really amazing film also surprise overall well made james gunn outdid time thank bringing life probably best film year far definite worth watch,POSITIVE
13,feel like superman movie tonne cgi load character little character depth story seems jump action scene action scene cgi also rank average place inspiring start new dc universe hoping surprising given james gunns history suicide squad gotg,POSITIVE
14,must admit taken time reflect superman writing review unfortunately thought changed probably one worst movie seen year outset underwhelmed film pacing prolonged conversation scene early set tone plodding narrative struggled gain momentum viewer praised chemistry lead found interaction unnecessary devoid meaningful context movie numerous flaw evident throughout plot marred inconsistency nonsensical twist making challenging become invested story villain lacked presence menace supporting character grating watch perhaps telling indictment film quality inability stay awake climactic final battle dozed wake time kissing scene jarring experience left feeling disconnected story conclusion superman mess movie failed deliver promise summer blockbuster poor pacing weak plot unimpressive character film easily forgettable,NEGATIVE
15,felt like joined movie half way start muddle character rapidly became overwhelming never felt like plot guardian galaxy style work well supes felt like comedy first superhero second much needless change source material well made feel like yet another dc reboot remake little late reasonable attempt fall short good,NEGATIVE
16,intense science fiction action fight completely took human story lois superman pocket universe distracts anything might realm think could happen like movie fantasy science fiction element possible day day life sometimes push element way beyond understandable enjoyable,POSITIVE
17,rollercoaster dceu future past year superman could possibly one greatest superhero film time even world iconic batman film honestly think gunn would come bang suicide squad fun showed signature style different level entirely bombastic visuals usual packed brim film best deliver emotional aspect prevalent genre long time think stick people action want get detail much early review people blown away fully ready embrace gunnverse even say massive fan snyderverse,POSITIVE
18,let say front fan superman superhero enjoy james gunn work especially guardian galaxy trilogy absolutely love genuinely curious looking forward new film man steel unfortunately time james gunn left disappointed biggest issue script reason director chose throw audience straight middle action almost background introduction main character might argue superman origin story longer necessary view absolutely essential full fledged reboot david corenswet first appearance clark kent film clearly lack least minute emotional buildup help u connect without foundation hard truly care character go rest cast lex luthor lack clear motivation want destroy superman right start deeper reasoning behind clark relationship adoptive parent barely shown appear short scene connection lois lane also feel shallow real chemistry relationship seems develop entirely screen result feel like watching second installment franchise rather first another serious flaw overload secondary hero audience thrown new world packed character green lantern mister terrific hawkgirl metamorpho engineer ultraman show almost none receive meaningful screen time mister terrific arguably developed hard remember let alone care average viewer unfamiliar dc universe genuinely overwhelming batman superman heavily criticized similarly chaotic structure yet despite sharing flaw gunn latest film somehow receiving mostly positive review get first film rebooted dc universe dcu expected coherent emotionally rich self contained story many viewer especially newcomer movie might feel chaotic overcrowded essence exactly two hour runtime gunn packed much could easily stretched entire season tv series zack snyder fan even though aware massive fanbase personally see strong visionary weak writer director still honest man steel left far deeper impression james gunn new superman disappointing especially given much admire gunn previous work speak frankly feel,NEGATIVE
19,film beyond expectation story telling used different formula previous dc movie precisely made good superhero story depicted clash superpower moral message humanity hero villain perspective portrayed exceptionally well loved char clark lex portrayed movie actor excellent job love movie handle ending connected opening somehow deeper meaning drawback might post credit scene short want,POSITIVE
20,superman arrives patchwork borrowed idea lifted franchise others recycled earlier superman film creative deck reshuffled futile attempt reinvent character remained essentially static across nearly year cinema year popular culture film suffers miscast maybe underwritten lois lane serviceable unremarkable superman lex luthor plan veers incomprehensible nod luthor original land grabbing scheme classic film comic fails give credible motivation coherence moment originality even flash wit particularly mr terrific lost film never quite find purpose combined often drab visuals boring music bar classic william score excepted miss,NEGATIVE
21,movie based comic revolutionary aspect visuals translating character screen blade come mind spider man superman directed richard donner visionary director decent lead get standard quality others measured james gunn visionary behind version superman terrific superman reminiscent purity character series comic based like take comic book shake fall dark version superman like snyder version faithful adaptation read comic growing version skip origin story take already established timeline clark kent superman ignore mom pop kent establish story already know several character present one shout mr fantastic steal show word getting spin movie lex luthor baddy rival heath ledger joker evil brilliant looking forward seeing time big screen seen far best comic movie come year maybe best movie term character development story come year see recommend largest screen find,POSITIVE
22,privileged able see today part early release fan event kuala lumpur amazing movie probably one best movie seen long time casting spot story powerful emotional contains right amount humor action big standard painting number dc movie forced endure past decade one fresh brings hope dc universe make resurgence hopefully start many similarly excellent movie come wait come next,POSITIVE
23,repetitive storyline want lex luther story exhausted point done nothing new even call reboot waste time expense energy wow personally like henry cavill version better least dark vibe take movie childish political propaganda zone superman man steel,NEGATIVE
24,james gunn took dc restart expecting amazing journey truth stepped one worst era hollywood even acting beyond discussion well maybe one thing still understand mr maisel movie real issue lie script directing studio longer seem capable offering anything interesting fun smart new movie feel question much garbage audience willing consume worst superman movie ever,NEGATIVE
25,boredom cape could fly would movie superman legacy manages impossible make man steel feel like soggy paper towel let start plot even call less storyline loosely taped collage clich half baked idea scene clearly written lunch break introduced superman charisma dmv employee emotional range brick villain ai generated placeholder menace wet sock stake high deciding decaf regular even get started forced emotional moment subtlety freight train none impact dialogue painfully robotic character reading fortune cooky pretending shakespeare clark kent spends half movie brooding like sad influencer lost wi fi half giving awkward pep talk somehow manage boring unintentionally hilarious visually cgi would looked impressive back watching superman fly looked like someone struggling green screen tiktok filter finally pacing glacial entire civilization risen fallen time take movie move one dull scene next summary superman legacy less cinematic experience two hour exercise wondering went wrong fan superman avoid one preserve sanity childhood,NEGATIVE
26,clarify enjoy majority james gunn work went little info could enjoyed opening felt like movie amazing however turned mid wish spoil anything say liked actor played superman liked campy old school superman got problem arise script feeling bloated superman never felt like indeed super instead superman movie felt like superman put movie many side character time lex luthor superman hero person clark kent feel like wasted time watching think ever feel need revisit unfortunate,NEGATIVE
27,superman super hero super human film show u new version superman see human side great comeback james gunn manages bring epic emotional film fun emotional visually attractive direct bothering present much known lex luthor real villain perhaps one liked adapted movie recent year think human superman seen far promise bring new dc universe attractive dark remains see fan public think receive,POSITIVE
28,even though narrative line thought superman mess think james gunn surrealistic touch mesh character work best feel organically wacky often otherwise feel overstuffed cartoony get intention year old boy clearly target audience probably worst mistake finished movie little time spent outside superheroics giving little importance anything feel emotionally authentic human relationship especially pivotal one superman clark kent lois lane hard say whether rachel brosnahan simply given enough work character simply miscast role whatever explanation nevertheless come least distinctive character role exist movie anyone else could cast effect nicholas hoult decent moment time shouting number get playing elon musk type person little actually given physically movie evil mastermind tower pretty much entire time feel like another character completely interchangeable similar villain archetype justification lex luthor movie lex luthor overall unfortunately found movie pretty inane disposable despite effort hard working people involved making spoiler alert get really excited supergirl though show minute last minute best thing whole movie,NEGATIVE
29,witness even though superman alien grew earth film reminded human many u superman full raw genuine emotion showing symbol savior person feel deeply lex luthor nicholas hoult absolutely nailed quirky forgettable villain embodied true essence lex manipulative dangerous terrifyingly intelligent could feel hatred obsession radiating lex luthor lego piece superman story monster mirror hoult deserves every bit praise david corenswet delivered gave u superman felt someone fly fight someone struggle love hurt hope rachel brosnahan lois owns role chemistry david undeniable never shipped lois clark harder everything james gunn chef kiss tone visuals storytelling slow motion sequence cinematography every superman shot felt like painting clear understood heart superman gave u something beautiful superhero movie superman movie,POSITIVE
30,quite simply put movie formulaic many movie seen good guy never done wrong get framed bad guy everyone end hating world start enter doomsday phase one stop everyone love even many classic redemption arc storytelling getting stale problem arc take entire movie work properly movie becomes predictable boring fast romantic scene movie take place beginning end make lack development two good chemistry yes would love see cute supporting develop relationship rather minute make session blue fight generic monster keep appearing nowhere comical point one question longevity city pop every saturday one seems care lex luthor development character simply hate superman know give u supposed interpret action word filler even hate superman much first place one laughably one dimensional villain ever seen cinema scream shout command people fight superman instead type villain people dislike instead sort empathy even secretly look time like said problem story model work thing properly set exact way way set make impossible story method come opening creativity innovation everyone hate way solve fighting huge monster still need go classical hero arc meaning need fall reborn ash learn almost nothing get back fight enemy motivation would waste entire half movie thesis scene alone could thing character simply evolve superman going classical hero arc already super good person represents justice luthor joke stand proper villain need development superman wish better creative story actor top notch cgi one best seen part spectacle star maybe try maybe continue tying story generic model leaf lot room spectacle lot empty philosophical insight theme raise beginning movie big important one separate superman superheroes justice power like kind spectacle seeing lot fight cgi might movie looking something deeper might hard find movie save couple sentimental scene feel little dated usage,NEGATIVE
31,watched midnight screening two day official release pretty good one moment pitying supes resenting lex luthor make great liked showed supes vulnerability kryptonite external hit impact also certain thing could get inside body internal damage like mechanical thing caused engineer almost look like symbiote nanotech thing could affect general stayed seat see mid end credit scene two give anything next movie okay like heath ledger performance dark knight stealing show thought nicholas hoult acting one,NEGATIVE
32,maybe bit hyped movie still hoping would change suit halfway sadly happen cornswet look menacing portraying clark kent playing superman acting skill baggy outfit lot epic superman moment opinion either like title mention movie felt like guardian galaxy featuring superman lot alien throw kaiju sake action scene top collector like prison hold get started remote controlled ultraman,NEGATIVE
33,without doubt best superman movie since christopher reeve brought man steel life set gold standard character represent movie waiting powerful return essence superman hope courage unwavering morality james gunn delivered story respect past boldly shaping future emotion symbolism heart thank gunn reminding u world still need superman beginning something truly special real superman finally back im love,POSITIVE
34,movie kickstart entire new age dc think movie decent job may may good thing unfortunately quite year many superhero project movie tv show game seem found new direction less focused comedic element fan service seems many others believe taking away spark many superhero project used superman honest opinion movie fine decent okay time good moment superhero especially superman movie start bit issue movie many way similar recent dc marvel movie comedic tone breaking emotional scene comedy sure serious moment far little chance lifetime especially time superhero fatigue worst movie quite way anything separate really fathom idea someone like james gunn directed already plenty superhero movie one lifetime chance superman movie want end delivering similar movie one already seen last year chance superhero character superman think delivered superhero movie superman think kind movie quite many enjoy think one would leave type impact like left think movie people would put poster wall,NEGATIVE
35,went james gunn superman high hope walked feeling deeply disappointed feel like superman grew felt like joke start movie try hard funny throwing quip gag moment serious bright cartoonish visuals fast pace made feel like marvel comedy dc epic wanted superman heart depth moral weight instead got something often felt like parody david corenswet fine actor think could great superman different kind script character overshadowed forced humor krypto cgi super dog kept pulling story stake never felt real emotional moment land lifelong superman fan movie left frustrated colorful yes lacked soul seriousness believe superman deserves verdict missed opportunity fun superman movie hoping,NEGATIVE
36,absolutely worst story line jump much added superheroes known unless maybe read comic book lot unknown assumed story line acting may okay overcome script depending upon know backstory predicted character may already know basically garbage film,NEGATIVE
37,superman fragile sensitive mutilated understandably reboot franchise aim give u superhero relate one social political relevance good intention stray far essence make superman iconic much film show one battered situation another first vulnerability refreshing time becomes emotionally draining point fatigue david corenswet delivers charming earnest superman script give little room explore depth complexity role deserves visual effect competent lack creative spark needed elevate film countless superhero entry come storytelling uneven time unfocused film try juggle many idea krypto genuinely endearing carry entire film adorable little body perfectly fine give u flawed grounded superhero brimming quiet goodness alien feel amputated point longer recognize man steel,POSITIVE
38,fan character since kid grew reading comic watching christopher reeve movie always resonated new film saw yesterday quite different used seeing superman big screen draw inspiration silver age dc comic make much fantastical usual almost ripped directly page comic book also clearly james gunn stamp better worse plenty humor funny much movie heart right place director clearly understands essence superman character represents shine entire film,POSITIVE
39,love superman best superhero ever lived first trailer got excited big movie great like episode show flash arrow something like ok watch definitly aiming younger public underwear pant really stupid mean snyders superman know better seeing suit go back henry cavil brando routh much suited better superman liked lois charachter well casted also mr terrific interessing charachter good lantern used enough potential hawk girl kent parent forgettable parent wrong casted dog fun lex good cast played rol good superman bit loser superman loser really get must weak side doesnt superman supergirl end wel let say didnt get excited even little defenitly good part scene like mr terrific fight scene mostly childish explenation hypno glases everyone accepted nobody know clark kent superman put glass regret going cinema really seeing say would fine seeing one home tv,NEGATIVE
40,definitely recommended superhero movie watch year believe every avid superman fan miss one perhaps watch sure angle way camera move flying around scene taking like actually scene also like funny joke smart conversation scene part consider strong feeling chemistry clark kent lois lane scene kissing scene certainly help either hope next chemistry growing anyway wait see supergirl movie next year see glimpse movie,POSITIVE
41,want start saying huge superman fan comic animation television show movie seen care admit beyond post patiently waiting movie ever since announced getting reboot even though thought henry cavill fantastic job deserved one movie james gunn proved success mcu movie involved dcu movie great moment terrible moment went open mind found eye rolling sighing throughout majority film truly inane moment joke already seen trailer lost punch give away spoiler like others spoil say without doubt krypto best part film give shot might feel differently forget stay end credit,NEGATIVE
42,superman hey buddy eye watched movie today amazing city premiere today first scene new superman movie grabbed audience stunning visuals heart pounding action story epic deeply human another superhero movie cinematic experience reminded u fell love symbol hope first place emotional depth action sequence insane music goosebump superman truly iconic every punch every flight every moment crafted care perfect blend nostalgia bold new direction fan cheered cried left theater buzzing excitement seen yet get ready superman save day save legacy,POSITIVE
43,superman spoiler free review waiting long see apprehensive excited time think knew coming didnt want believe enjoyed creature commando casting looked pretty solid good acting lot dc reference find identify throughout special effect show superman glory could go wrong ask well james gunn taken u pretty complicated tour idea new style superman way really imagined possible entertain however mish mash concept follow threw load dc character noticeboard threw massive blender get zero character building hardly anyone seem get one two full scene entire film hardly make impact annoying camera angle see someone arm shoulder part shot obscuring view happened frequently starting chafe eye mister terrific appears far much much infact starting think film rather superman never thought would see superman film think clark kent didnt appear enough new one casting pretty decent lex luthor seemed far young someone studying superman year still believe man fly david corenswet make decent superman best iteration seen opinion perhaps james gunn trying sabotage new dcu even lift time tell wanted love mediocre,NEGATIVE
44,lousy rendition superman david corenswet performance felt like took inspiration zachary levi lex whiny annoying mean menacing whomever thought robot monkey influencing social medium fired animated series never went cheesy plot cluttered many side story non felt fully resolved crowding character also felt rushed little character development occurred honestly would place superman iii superman return ahead spending two ticket two small popcorn two water really want put quest peace ahead aswell,NEGATIVE
45,superman absolute disaster complete waste time film one iconic superheroes ever failed every level story painfully dull pacing dragged character depth life even action scene thrilling felt forced uninspired instead excitement movie delivered nothing disappointment easily one worst superhero film ever watched,NEGATIVE
46,took dad dementia see getting worse longtime superman fan sadly walked disappointed superman spent whole movie getting beat tossed around like ragdoll even look like finally striking back get hit usually saved character movie make fun filmmaker must really like superman there also moment nobody talked superman demand find dog lex prior scene look around fortress solitude dog except left film forgot last time saw dog city superman battled giant monster whole film felt like scene cobbled together passion felt behind actor good especially liked mr terrific krypto film interesting enough hold attention dad wanted end lackluster movie seem compete original version even change thing best would superman care social medium say film pretty bad,NEGATIVE
47,silly good actor fun interesting much better others updated timeline excited see going others super girl also hope keep dog superhero movie get always loved superheroes recently disappointing new super man excited watch scene new louis lane also much representative strong woman nowadays also like actress since mr maisel recommend watch,POSITIVE
48,rating movie something closest describe meta kind movie superman real superman film would watching tv understand getting real superman movie kind knockoff much way female ghostbusters parody real ghostbusters movie know james gunn trying build dc universe feel interested seeing next installment far much talking film interview scene instance went way long could easily cut half hour making minute movie instead two hour really care character robot cool guess dog annoying ultimately hope somebody like enjoy fine going fault right like like like superman movie power,NEGATIVE
49,james gunn delivers superman waiting david corenswet embodies perfect balance strength vulnerability rachel brosnahan brings wit depth lois lane film beautifully capture superman hopeful spirit without losing modern edge spectacular action sequence blend seamlessly heartfelt character moment gunn signature humor never undermines emotional core score perfectly honor williams legacy feeling fresh superman done right earnest thrilling genuinely inspiring triumphant start new dcu reminds u love superheroes perfect way start new dc verse,POSITIVE
50,writing truly terrible admire film comic book aesthetic style cinematography almost saturday morning cartoon time vibrancy character little depth james gunn apparently trust modern audience able infer something character action alone instead need conversation lois clark specifically explicitly state issue conflict knew work good relationship villain spell entire motivation background spoon fed sentence engineer know lex sacrificed humanity lex horribly nose end monologue insecure jealous super man endlessly exposition filled sentence around member justice squad sometimes fun compelling still feel rushed little shoehorned whole film general much going much bloat think potentially part reason film feel like written child gunn needed film perfect springboard revamped reimagined cinematic universe meant needed cram much could tight time frame possible order likely thing would taken time develop could fat trimmed deep character relationship personality traded pure spectacle overwhelming amount exposition fun watch good moment rush watch oh last scene supergirl probably going skip film,NEGATIVE
51,absolutely interest seeing movie big superhero movie thought could nap cinema boyfriend enjoyed film almost annoyingly pretty hooked opening scene found thoroughly entertained throughout loved story began already established world superman knew bored sit another retelling origin even non superhero film watcher comic book reader know clark kent becomes superman performance great superman lex luthor mr terrific stand out everyone great job role chemistry louis lane clark kent superman particular palpable film amusing right moment without trying hard top also surprisingly emotional touching hopeful generally felt happy uplifted cinema experience enjoyable guess complaint would follows typical predictable formula superhero movie sense know good guy going win current state world think uplifting slightly predictable escapism bad thing,POSITIVE
52,bad film mediocre number predictable cheesy humour typically juvenile james gunn style really funny ok nothing special lex luthor movie patch gene hackmans version nicholas hoult great actor character really one dimensional film like parody lex luthor actor play superman lois ok passable job nothing great plot typical entirely predictable superhero fayre wont interested supergirl film standard movie summary remake need made add anything new,NEGATIVE
53,watched amazon prime screening superman blown away start finish movie delivered everything hoped action intense storytelling sharp emotional beat really landed new take clark kent felt fresh still honoring legacy character know love visuals stunning score powerful cast absolutely nailed superman great whether longtime fan new franchise superman movie waiting wait see officially hit theater,POSITIVE
54,super hyped film positive aspect like old lighthearted justice loving superman back straight good guy want save every person love everyone nice get away dark tone modern day superhero film david corenswet bad christopher reef great brandon routh great clarke kent good superman henry cavill great superman good clarke kent corenswet good role butnot great either loved lois lane similar original film coming film well paced inconsistency place first half actually pretty bad starting film right away fight ultraman seemed fast character introduction justice gang came every character introduced straight battlefield loved initial scene involved superman saving jarhanpur boravia would given film better start maybe making film hr long adding minute bad loved mr terrific best part whole film fight scene beach best rest justice gang meh lex luthor kinda similar first superman film wanted bomb city rename name okay end revealed jist envy superman cry like baby destroys luther character whole hell get mutant like metamorpho imprisoned pocket universe many stuff done created superman clone made engineer created mini universe made war jealous superman sound right many plot hole hell luthor get freaking kaiju pretty convenient went superman den find leverage immediately find sent kill everyone goku reference hawkgirl green lantern metamorpho team save jarhanpur blowing black hole push away hole second black hole even pull superman lot loved interaction jonathan martha kent emotion felt great story jarhanpur boravia symbolizes present israel palestine war positive good message given loved judging film making could lot better superman good kinda stupid sometimes superman intelligent extent apart good anyways hopefully next film better,NEGATIVE
55,honestly see movie could impress anyone older sure colorful lighthearted crowd pleasing moment underneath cape charm feel like saturday morning cartoon cinematic relaunch iconic hero character emotionally rich symbolically heavy superman version felt oddly flat even juvenile movie open tone hint something deeper maybe layered origin story grounded emotional arc moment feel like james gunn might give superman complexity deserves promise fade fast instead evolving something meaningful story flattens series lighthearted moment cheesy one liner safe predictable beat like film afraid take seriously five minute every time flirt depth quickly retreat humor surface level charm approach might work younger audience anyone hoping mature compelling superman narrative letdown cast decent job nobody outright bad one really stood either performance felt safe almost like everyone playing within tight creative boundary even character supposed command screen like superman lex luthor felt surprisingly muted david corenswet superman check box visually performance leave much mark real emotional weight moment truly feel clark going nicholas hoult lex luthor interesting casting choice paper lack menace charisma make character memorable frustrating iconic role comic book history yet film give actor enough material make feel iconic bright costume pop early shot eye catching least second settle movie start feel bit stale cgi fine nothing seen action scene clean lack intensity creativity real visual identity set apart every superhero film like eating candy flavor look fun stop caring pretty quickly superman feel like movie made play safe colorful enough distract light enough entertain kid ultimately hollow anyone expecting opportunity bring real depth emotion one iconic hero fiction instead settle flat overly sanitized version character might love everyone else another cape crowd,NEGATIVE
56,worst superman date movie offered nothing beyond first trailer direction story nothing show character depth noble superhero superman comedic add ons trivial moment patch uncreative trivia entered theater excitement hope left disappointed memorable scene carry another waste opportunity score aligned shallowness story borrowing john william theme made worse overall felt like inferior version guardian galaxy dc character pretending superman movie,NEGATIVE
57,actor playing superman clark kent lois lane lex luthor worked magic script actor played mr terrific also good many actor especially perry white hawkgirl wasted basically screen time actor played pa kent portrayed dumb bumbling individual lived kansa kent yelling cell phone really let discus script reminded justice league snyder cut one place introduction little dragon grows destructive large dragon character krypto awesome would say stole every screen cgi character second positive time movie end one movie excited see superman disappointment,NEGATIVE
58,think dc finally done long year misstep uneven storytelling missed potential made truly great movie movie superman movie honestly speechless good writing sharp emotionally resonant pacing spot rushed bloated every scene felt like mattered cinematography beautiful iconic shot felt instantly memorable music chill absolute chill struck perfect balance awe inspiring intimate cast deserves special shout perfect perfect perfect,POSITIVE
59,exception stupid death jonathan kent mo waaaaayyyy better first hour confusing uninvolving care kaiju silly dumb actually enjoyed second hour climax blast part identity ultraman nice twist also david admirable job role krypto practically steal movie however character part fail miserably green lantern couple good moment ridiculous haircut cannot taken seriously hawk girl barely register except silly screeching emoting black canary mr terrific ok annoyingly full luther also well casted eon better terrible former casting eisenberg one particular cameo audience cheering clapping know see effect typical surprisingly lesser quality marvel movie essence movie watchable masterpiece people saying unlike course masterpiece man steel,NEGATIVE
60,clearly see gunn right gave u another boring originstory movie throw u world superman already working pretty similar batman introducing u new character seen silver screen work dc thing pinch marvel unique way movie people like comic movie never read single comic read read comic oh third one like read specific comic graphic novel inhaled animated warner bros animated dc tv show animated movie past year example without major spoiler superman asks question everyone group know character referring part time member group understand nothing tiktok real show gunn referring even got chameos directly lead justice league movie character well written matter perry gl hawkgirl especially lex luthor even superman parent stunning single character would say think put story actor best thing felt strange musical guardian galaxy moment fun well know felt like gunn forced scene script movie felt really cringe maybe style absolutely necessary movie second thing ever returning superman theme john williams love theme making something unique composer well bringing style even pinch man steel batman superman could heard subtle way clearly see movie finalized script gave fx team time needed studio producer gave gunn creative free space needed give u finally good comic movie end game,NEGATIVE
61,supposed reset partial reboot origin story thank god new direction superman dc universe general turn pretty much old tired superhero fare fail see major difference average marvel flick many character superheroes waiting wing get pic many story arc lead nowhere interesting wait future film though much story basically lois lane non entity barely glimpsed whereas jimmy get way much screen time storyline exactly indispensable ex giving intel guess jimmy used connect various film within dceu mean sacrificing core story relationship clark lois doubt clark superman alien foreign land handled rushed scene developed give film emotional weight dramatic import clearly time hey need feature green lantern mister terrific etc saying anything new go show new iteration superman another instance flick rushed episode ongoing saga actual movie anything like substance nothing new marvel dc sun,NEGATIVE
