model,json_file,section,BERTScore_F1,BERTScore_P,BERTScore_R,F,R,A,C,U
facebook/mms-tts-gil,w83y0mah.json,intended_use,-0.1075696051120758,0.11127139627933502,-0.3115077018737793,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,generative_capabilities,-0.22742924094200134,-0.12533928453922272,-0.3290938436985016,4,5,4,4,4
facebook/mms-tts-gil,w83y0mah.json,safety_considerations,-0.2409239113330841,-0.15842260420322418,-0.32451629638671875,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,training_data,-0.19308353960514069,-0.1295124739408493,-0.25876882672309875,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,performance_metrics,-0.2484847605228424,-0.20756718516349792,-0.2926878035068512,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,ethical_considerations,-0.6581124067306519,-0.6667981147766113,-0.654807448387146,2,5,2,4,2
facebook/mms-tts-gil,w83y0mah.json,caveats_recommendations,-0.6036067605018616,-0.5390639901161194,-0.6713398098945618,1,5,1,5,1
facebook/mms-tts-gil,ym2zbppf.json,model_details,-0.08164751529693604,-0.07410794496536255,-0.09267153590917587,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,intended_use,-0.08848119527101517,0.12678399682044983,-0.2894222140312195,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,generative_capabilities,-0.2108422815799713,-0.1551118642091751,-0.2691318988800049,4,5,4,4,4
facebook/mms-tts-gil,ym2zbppf.json,safety_considerations,-0.28178685903549194,-0.21546852588653564,-0.3503158688545227,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,training_data,-0.270741730928421,-0.2522273063659668,-0.29320991039276123,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,performance_metrics,-0.2654404044151306,-0.16524925827980042,-0.36544713377952576,4,5,4,4,4
facebook/mms-tts-gil,ym2zbppf.json,ethical_considerations,-0.41911426186561584,-0.3134177327156067,-0.524485170841217,1,5,1,5,1
facebook/mms-tts-gil,ym2zbppf.json,caveats_recommendations,-0.6036067605018616,-0.5390639901161194,-0.6713398098945618,1,5,1,5,1
facebook/mms-tts-gil,o5mn32u1.json,model_details,0.08572477102279663,0.1744842231273651,-0.002870473312214017,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,intended_use,-0.12479366362094879,0.05012835934758186,-0.2912548780441284,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,generative_capabilities,-0.19124355912208557,-0.06927219033241272,-0.3109254837036133,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,safety_considerations,-0.21482206881046295,-0.07512956857681274,-0.3504280149936676,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,training_data,-0.15358661115169525,-0.03815855085849762,-0.26726916432380676,4,5,4,5,4
facebook/mms-tts-gil,o5mn32u1.json,performance_metrics,-0.2002103477716446,-0.061790402978658676,-0.3346624970436096,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,ethical_considerations,-0.22492215037345886,-0.10566836595535278,-0.34221169352531433,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,caveats_recommendations,-0.12242571264505386,0.05753621459007263,-0.2932491600513458,5,5,5,5,5
facebook/mms-tts-gil,iq2bajdm.json,model_details,-0.341104656457901,-0.3553663492202759,-0.3311457931995392,3,5,3,3,3
facebook/mms-tts-gil,iq2bajdm.json,intended_use,-0.08693717420101166,0.1774914413690567,-0.3285299837589264,3,5,3,3,3
facebook/mms-tts-gil,iq2bajdm.json,generative_capabilities,-0.20470716059207916,-0.01356945838779211,-0.38516655564308167,2,5,2,4,2
facebook/mms-tts-gil,iq2bajdm.json,safety_considerations,-0.32695239782333374,-0.14882928133010864,-0.4962880313396454,1,5,1,5,1
facebook/mms-tts-gil,iq2bajdm.json,training_data,-0.2586512267589569,-0.20832915604114532,-0.31191661953926086,5,5,5,5,5
facebook/mms-tts-gil,iq2bajdm.json,performance_metrics,-0.28460440039634705,-0.206185445189476,-0.3645009398460388,3,5,3,4,3
facebook/mms-tts-gil,iq2bajdm.json,ethical_considerations,-0.4905225336551666,-0.43657511472702026,-0.5479190349578857,1,5,1,5,1
facebook/mms-tts-gil,iq2bajdm.json,caveats_recommendations,-0.25909656286239624,-0.1897803395986557,-0.3303891718387604,5,5,5,5,5
facebook/mms-tts-gil,5fc79m96.json,model_details,-0.12173422425985336,-0.01971549354493618,-0.2230967879295349,4,5,4,3,4
facebook/mms-tts-gil,5fc79m96.json,intended_use,-0.14035116136074066,0.08067210763692856,-0.3460998237133026,3,5,3,4,3
facebook/mms-tts-gil,5fc79m96.json,generative_capabilities,-0.6673581600189209,-0.6724330186843872,-0.667708158493042,1,5,1,5,1
facebook/mms-tts-gil,5fc79m96.json,safety_considerations,-0.6673581600189209,-0.6724330186843872,-0.667708158493042,1,5,1,5,1
facebook/mms-tts-gil,5fc79m96.json,training_data,-0.15898892283439636,0.006853179540485144,-0.3175751566886902,4,5,4,4,4
facebook/mms-tts-gil,5fc79m96.json,performance_metrics,-0.2650067210197449,-0.09519562870264053,-0.4271295964717865,2,5,2,4,2
facebook/mms-tts-gil,5fc79m96.json,ethical_considerations,-0.7183738350868225,-0.7761748433113098,-0.6646990180015564,1,5,1,5,1
facebook/mms-tts-gil,5fc79m96.json,caveats_recommendations,-0.6036067605018616,-0.5390639901161194,-0.6713398098945618,1,5,1,5,1
facebook/mms-tts-gil,zpxvpbl9.json,model_details,-0.16776782274246216,0.03308190032839775,-0.3564993441104889,2,5,2,4,2
facebook/mms-tts-gil,zpxvpbl9.json,intended_use,-0.08693717420101166,0.1774914413690567,-0.3285299837589264,3,5,3,4,3
facebook/mms-tts-gil,zpxvpbl9.json,generative_capabilities,-0.2807613015174866,-0.0684819146990776,-0.47909948229789734,1,5,1,5,1
facebook/mms-tts-gil,zpxvpbl9.json,safety_considerations,-0.6673581600189209,-0.6724330186843872,-0.667708158493042,1,5,1,5,1
facebook/mms-tts-gil,zpxvpbl9.json,training_data,-0.13627424836158752,0.07062139362096786,-0.33013519644737244,3,5,3,4,3
facebook/mms-tts-gil,zpxvpbl9.json,performance_metrics,-0.28256136178970337,-0.09261396527290344,-0.46201425790786743,3,5,3,4,3
facebook/mms-tts-gil,zpxvpbl9.json,ethical_considerations,-0.4905225336551666,-0.43657511472702026,-0.5479190349578857,2,5,2,5,2
facebook/mms-tts-gil,zpxvpbl9.json,caveats_recommendations,-0.6036067605018616,-0.5390639901161194,-0.6713398098945618,1,5,1,5,1
facebook/mms-tts-gil,ot7txkdo.json,model_details,-0.1486024260520935,-0.18955393135547638,-0.11074402183294296,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,intended_use,-0.1075696051120758,0.11127139627933502,-0.3115077018737793,4,5,4,4,4
facebook/mms-tts-gil,ot7txkdo.json,generative_capabilities,-0.2067049890756607,-0.09815827757120132,-0.31423139572143555,4,5,4,4,4
facebook/mms-tts-gil,ot7txkdo.json,safety_considerations,-0.2409239113330841,-0.15842260420322418,-0.32451629638671875,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,training_data,-0.19308353960514069,-0.1295124739408493,-0.25876882672309875,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,performance_metrics,-0.2484847605228424,-0.20756718516349792,-0.2926878035068512,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,ethical_considerations,-0.6581124067306519,-0.6667981147766113,-0.654807448387146,2,5,2,4,2
facebook/mms-tts-gil,ot7txkdo.json,caveats_recommendations,-0.16003745794296265,0.14476117491722107,-0.4336600601673126,4,5,4,4,4
google/t5-efficient-small-nl36,trbad3wr.json,model_details,-0.08807224035263062,-0.04019933193922043,-0.13848450779914856,4,5,4,4,4
google/t5-efficient-small-nl36,trbad3wr.json,intended_use,-0.2818341851234436,-0.156210258603096,-0.4049680531024933,3,5,3,4,3
google/t5-efficient-small-nl36,trbad3wr.json,generative_capabilities,-0.17224521934986115,-0.03977907821536064,-0.30133354663848877,3,5,3,4,3
google/t5-efficient-small-nl36,trbad3wr.json,safety_considerations,-0.6793949604034424,-0.6859490275382996,-0.6783000826835632,1,5,1,5,1
google/t5-efficient-small-nl36,trbad3wr.json,training_data,-0.23468248546123505,-0.09724348038434982,-0.36831197142601013,3,5,3,4,3
google/t5-efficient-small-nl36,trbad3wr.json,performance_metrics,-0.6793949604034424,-0.6859490275382996,-0.6783000826835632,1,5,1,5,1
google/t5-efficient-small-nl36,trbad3wr.json,ethical_considerations,-0.7300694584846497,-0.7893788814544678,-0.6748367547988892,1,5,1,5,1
google/t5-efficient-small-nl36,trbad3wr.json,caveats_recommendations,-0.6142973303794861,-0.5499374866485596,-0.6818872094154358,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,model_details,-0.09577823430299759,0.016535289585590363,-0.2065078169107437,4,5,4,4,4
google/t5-efficient-small-nl36,dhw9re2q.json,intended_use,-0.2705492675304413,-0.1220250129699707,-0.41405487060546875,3,5,3,4,3
google/t5-efficient-small-nl36,dhw9re2q.json,generative_capabilities,-0.20513801276683807,-0.10941952466964722,-0.30089280009269714,3,5,3,4,3
google/t5-efficient-small-nl36,dhw9re2q.json,safety_considerations,-0.6793949604034424,-0.6859490275382996,-0.6783000826835632,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,training_data,-0.6793949604034424,-0.6859490275382996,-0.6783000826835632,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,performance_metrics,-0.6793949604034424,-0.6859490275382996,-0.6783000826835632,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,ethical_considerations,-0.7300694584846497,-0.7893788814544678,-0.6748367547988892,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,caveats_recommendations,-0.6142973303794861,-0.5499374866485596,-0.6818872094154358,1,5,1,5,1
google/t5-efficient-small-nl36,6jxnnngb.json,model_details,0.023381441831588745,0.16018711030483246,-0.10927111655473709,5,5,5,5,5
google/t5-efficient-small-nl36,6jxnnngb.json,intended_use,-0.2289142906665802,0.06033790856599808,-0.4900469183921814,3,5,3,4,3
google/t5-efficient-small-nl36,6jxnnngb.json,generative_capabilities,-0.202129065990448,0.04121954366564751,-0.42631781101226807,3,5,3,4,3
google/t5-efficient-small-nl36,6jxnnngb.json,safety_considerations,-0.6793949604034424,-0.6859490275382996,-0.6783000826835632,1,5,1,5,1
google/t5-efficient-small-nl36,6jxnnngb.json,training_data,-0.3630688786506653,-0.19259369373321533,-0.5258268117904663,3,5,3,4,3
google/t5-efficient-small-nl36,6jxnnngb.json,performance_metrics,-0.6238471865653992,-0.6010316014289856,-0.651646614074707,1,5,1,5,1
